Cell ID;coverage
0;0.504
1;0.0
2;0.984
3;0.032
4;0.12
5;0.08
6;0.176
7;0.48
8;0.792
9;0.44
10;0.44
11;0.664
12;0.44
13;0.48
14;0.0
15;0.0
16;0.408
17;0.736
18;0.0
19;0.968
20;0.0
21;0.0
22;0.848
23;0.48
24;0.608
25;0.168
26;0.248
27;0.84
28;0.8
29;0.008
30;0.432
31;0.984
32;0.448
33;0.712
34;0.688
35;0.616
36;0.68
37;0.44
38;0.752
39;0.808
40;0.976
41;0.976
42;0.976
43;0.784
44;0.744
45;0.68
46;0.424
47;0.912
48;0.832
49;0.936
50;0.504
51;0.776
52;0.96
53;0.936
54;0.664
55;0.976
56;0.984
57;0.768
58;0.744
59;0.896
60;0.96
61;0.936
62;0.832
63;0.8
64;0.984
65;0.688
66;0.872
67;0.792
68;0.0
69;0.008
70;0.992
71;0.0
72;0.016
73;0.672
74;0.768
75;0.464
76;0.432
77;0.936
78;0.12
79;0.416
80;0.728
81;0.992
82;0.488
83;0.744
84;0.872
85;0.0
86;0.552
87;0.0
88;0.576
89;0.168
90;0.08
91;0.152
92;0.592
93;0.8
94;0.752
95;0.128
96;0.6
97;0.424
98;0.496
99;0.512
100;0.504
101;0.712
102;0.616
103;0.576
104;0.72
105;0.496
106;0.68
107;0.992
108;0.848
109;0.816
110;0.792
111;0.976
112;0.848
113;0.848
114;0.72
115;0.848
116;0.504
117;0.504
118;0.576
119;0.472
120;0.976
121;0.488
122;0.856
123;0.568
124;0.84
125;0.952
126;0.832
127;0.496
128;0.952
129;0.792
130;0.92
131;0.496
132;0.824
133;0.696
134;0.672
135;0.968
136;0.968
137;0.984
138;0.992
139;0.984
140;0.44
141;0.528
142;0.944
143;0.824
144;0.728
145;0.424
146;0.968
147;0.824
148;0.728
149;0.912
150;0.832
151;0.88
152;0.864
153;0.744
154;0.976
155;0.984
156;0.952
157;0.8
158;0.792
159;0.832
160;0.432
161;0.824
162;0.8
163;0.832
164;0.728
165;0.696
166;0.808
