ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
0;-15.0;-13.5;-12.0;-10.5;0.657;1.166;1.6079999999999999;0.601;0.0;0.0;0.0;0.0;0;1;2;3;100.40468567243;0.00529760203767043;-3.206883378559312;DD;4.954441785968019;-12.762330100403151;-0.36181163953896256;1271;-0.0013288867293783408;100.39636707123363
1;-13.5;-12.0;-10.5;-9.0;1.166;1.6079999999999999;0.601;0.393;0.0;0.0;0.0;0.0;1;2;3;4;100.579467678994;0.00513267433113354;-6.2115098201717736;DD;4.884786561557021;-11.415397061111088;-0.18335481888732208;1104;-0.0029533857094675687;100.57018747014413
2;-12.0;-10.5;-9.0;-7.5;1.6079999999999999;0.601;0.393;1.337;0.0;0.0;0.0;0.0;2;3;4;5;97.5829192968408;0.000970775493480426;-5.152454182044258;DD;5.093345621036953;-9.81123557684159;0.45567307827618464;430;0.041925055341536725;97.46071160090654
3;-10.5;-9.0;-7.5;-6.0;0.601;0.393;1.337;1.405;0.0;0.0;0.0;0.0;3;4;5;6;99.8740823832636;0.00968644990532886;-7.991911542426288;DD;4.788218235851318;-8.081568204621426;0.0602847273587247;561;0.00811286915560883;99.55997062266523
4;-9.0;-7.5;-6.0;-4.5;0.393;1.337;1.405;0.769;0.0;0.0;0.0;0.0;4;5;6;7;99.9740849942518;0.00702053093877358;-2.821766037751455;DD;4.903127978671727;-6.668347816421344;-0.3962202821913683;1389;-0.0033842320829055414;99.98234777850986
5;-7.5;-6.0;-4.5;-3.0;1.337;1.405;0.769;0.6809999999999999;0.0;0.0;0.0;0.0;5;6;7;8;100.046648666788;0.0032766214659778;-5.154866500595135;DD;4.633382068100556;-5.383675911243962;0.09201585274720903;1156;-0.0025757158685247115;99.84962211857689
6;-6.0;-4.5;-3.0;-1.5;1.405;0.769;0.6809999999999999;1.204;0.0;0.0;0.0;0.0;6;7;8;9;99.4361233332513;0.00392108153132156;-5.372239203334549;DD;4.72040345414344;-3.7921269345058595;0.36135967524195434;735;0.020694448055460432;99.59635619773982
7;-4.5;-3.0;-1.5;0.0;0.769;0.6809999999999999;1.204;1.318;0.0;0.0;0.0;0.0;7;8;9;10;98.5838369682902;0.0146351494813211;-5.7269823732131435;DD;4.595466806932208;-2.1386958757317847;0.13117111255561253;906;0.014867528630802472;99.20890297737847
8;-3.0;-1.5;0.0;1.5;0.6809999999999999;1.204;1.318;0.944;0.0;0.0;0.0;0.0;8;9;10;11;101.355572841674;0.00296120277064587;-4.014702905788549;DD;4.638810069266485;-0.6958698333555381;-0.1136815585554316;1152;-0.005713083287642296;101.34177030829919
9;-1.5;0.0;1.5;3.0;1.204;1.318;0.944;0.417;0.0;0.0;0.0;0.0;9;10;11;12;101.273708751644;0.00261055272179894;-3.7061210525249644;DD;4.6401314700331975;0.5901250746524451;-0.10365141558322355;1140;-0.0022297498423513155;101.51983361912652
10;0.0;1.5;3.0;4.5;1.318;0.944;0.417;1.015;0.0;0.0;0.0;0.0;10;11;12;13;95.9346376970383;5.11345664246456e-05;-5.794335643470497;DD;4.750613435933309;2.1861696051742885;0.21852383922210517;813;0.006847864217901366;95.61207274603916
11;1.5;3.0;4.5;6.0;0.944;0.417;1.015;1.589;0.0;0.0;0.0;0.0;11;12;13;14;95.7962743963734;0.00234587133375146;-7.136432913246448;DD;4.810765775608216;3.8865134516917412;0.31408056959250374;764;0.029421642740208823;95.91114230337023
