ID;xa;xb;xm;xn;ya;yb;ym;yn;za;zb;zm;zn;idx_a;idx_b;idx_m;idx_n;rhoa;err;k;array;L;b;b_on_L;DOI_coef;xDOI;yDOI;idx_cell_DOI;frechet_DOI;rhoa_th
0;-15.0;-13.5;-12.0;-10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;2;3;93.0706403149685;0.0100003016580337;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-12.75;-0.4763293044026976;882;0.045773177833723415;92.8982783208658
1;-13.5;-12.0;-10.5;-9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2;3;4;92.89697031414;0.0100003022219804;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-11.25;-0.4763293044026976;436;0.001951111013269348;92.59260300847063
2;-12.0;-10.5;-9.0;-7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;3;4;5;92.7841975857504;0.0100003025893101;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-9.75;-0.4763293044026976;490;0.0018450266468791401;92.52235067813234
3;-10.5;-9.0;-7.5;-6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;4;5;6;93.4292519028835;0.0100003005001732;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-8.25;-0.4763293044026976;600;0.04327546404229195;92.98295532211846
4;-9.0;-7.5;-6.0;-4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;5;6;7;94.6487134539971;0.0100002966285059;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-6.75;-0.4763293044026976;456;0.0018210891853720087;94.1465545913133
5;-7.5;-6.0;-4.5;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;6;7;8;95.224204417874;0.010000294835821;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-5.25;-0.4763293044026976;478;0.0017941248211694556;94.65316886898746
6;-6.0;-4.5;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;7;8;9;95.1373996467205;0.0100002951048336;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-3.75;-0.4763293044026976;602;0.04345338885119541;94.55877387308382
7;-4.5;-3.0;-1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;8;9;10;94.5889953061653;0.0100002968157803;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-2.25;-0.4763293044026976;468;0.0017780334787161883;93.97690384552325
8;-3.0;-1.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;9;10;11;94.1508991220398;0.0100002981969019;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;-0.75;-0.4763293044026976;561;0.04222578694892096;93.88473882428859
9;-1.5;0.0;1.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;10;11;12;91.3273931636858;0.0100003074160476;-4.499999999999994;DD;4.5;1.5;0.3333333333333333;0.1058509565339328;0.75;-0.4763293044026976;566;0.002116215520055043;91.60216709709637
